sample	core	season	depth	exp	mcrA	pmoA	hzsB 	NC10	A6-acm	A6-33-232	nirK_b	amoA_arc	narG	amoA_bact	mcrA_SE	pmoA_SE	hzsB_SE	NC10_SE	A6-acm_SE	A6-33-232_SE	nirK_b_SE	amoA_arc_SE	narG_SE	amoA_bact_SE
K26	BH2	Summer	-8	SSHE	61.0697863321818	155688400	2130959.07101409	65106.5182273614	42922107.2719158	381392.482567797	3334357.06945199	359330.09448471	38706848.1599962	1689398.49309979	36.9229628106381	10595075.8772649	67525.3164086225	4239.79351122734	1491412.53835335	275.147246666282	44941.8132988975	9396.24452277549	746432.332923774	38239.3711726343
K28	BH2	Summer	-38	SSHE	32.60786336408	245441.666666667	1067209.95443039	31039.9093296719	6673505.52159849	5690.75591097703	228649.636263356	253363.337571943	2132568.42700972	718768.788741801	8.67569438445955	169334.259552913	13123.7391081866	3259.46490388225	116557.52777411	44.2312390229745	14684.6136770134	29763.9523107562	110067.626068143	4881.99521651212
K32	BH2	Summer	-84	SSHE	19.7921816046794	80575	1129311.46763633	71041.2344164696	6783913.95276113	0	152520.388399569	82459.5376832997	264505.683429021	52591.9984950302	1.52802010939818	9986.021480049	73595.5740307388	3201.38177392292	308893.270268442	0	10965.6372355823	5367.18792965614	10051.8473366881	2898.87072380623
K38	BH2	Summer	-146	SSHE	2.02948303636419	28250	304560.720149948	8499.54205972114	25492.6922933991	0	20252.3392757599	0	116932.020912718	244410.243025842	0.311013676998514	20343.5954295203	6109.41986287412	479.607800694756	1507.87501093094	0	895.638776812506	0	5344.47797815157	8803.6592002072
K41	BH2	Summer	-195	SSHE	0.772461295309353	65012.5	249097.608781217	0	16640.957977545	0	0	0	64748.3121067899	10982.2927241637	1.14233801432205	19604.535508397	21296.1533328631	0	2226.31742611832	0	0	0	809.631808007158	566.385190552305
K42	BH2	Summer	-225	SSHE	1918894.318875	68675	306450.656402677	0	32000.1714872121	0	0	0	74128.75189249	42186.8845372941	469651.855930069	10818.7337521542	4973.32468767671	0	4938.92482050208	0	0	0	395.075528513618	1968.08480705474
K2	BH1	Summer	-23	SSLE	75	624567	1643785	39328	19191688	77777	817878	321945	7093592	865851	3	190975	169887.851535157	2837.60604921278	447587.188608978	4132.78866365742	71003.2673112312	17228.4262614076	204947.840961175	47902.8392146687
K6	BH1	Summer	-56	SSLE	51	1529758	2312069	42374	3917512	0	252634	26911	1315057	2387724	35	1622836	30028.7468562589	1013.31817426096	114359.972565236	0	13597.3979936732	1195.88634142059	8234.72619101522	100016.266436869
K7	BH1	Summer	-68	SSLE	27810	40532413	123245	30449	1168216	0	0	0	264105	5135	17059	1025216	14078.2631073943	1314.48398371663	123289.258350637	0	0	0	15832.5091481413	196.990936816244
K9	BH1	Summer	-86	SSLE	160088	6820017	4831027	81542	29032758	258624	1743838	98938	38797694	630623	0	4694975	152440.972949186	6485.3623405699	676240.726971337	4213.70225159892	85877.7436494801	5312.43647368432	1987949.63538642	28855.4443405915
K11	BH1	Summer	-106	SSLE	21704	729533	0	0	0	0	0	0	0	0	12666	270888	0	0	0	0	0	0	0	0
K15	BH1	Summer	-166	SSLE	5290749	321450	77837	0	553928	0	0	0	161676	0	347902	141652	5099.37819437834	0	44155.9890380489	0	0	0	12228.6435726141	0
K16	BH1	Summer	-186	SSLE	3544779	51708	0	0	0	0	0	0	0	0	629221	21245	0	0	0	0	0	0	0	0
K21	BH1	Summer	-259	SSLE	2175356	225150	0	0	210997	0	0	0	60588	0	408286	76733	0	0	10003.6389130893	0	0	0	210.637895343534	0
K23	BH1	Summer	-295	SSLE	377586	49888	349335	0	458980	0	26582	21001	434588	79679	94997	45591	20252.1436638081	0	35169.9812055403	0	2104.54360974695	1510.43662771156	18508.439076162	520.22589346384
K24	BH1	Summer	-305	SSLE	144202	36200	661710	30501	604342	0	30871	13823	617627	110103	27995	21879	50085.7345613293	137.448745458791	28068.7963744366	0	1027.04252037085	1190.68050039792	44647.731136291	4786.56080909609
N1	BH6	Winter	-50	WSLE	0	21900	0	0	85894	0	0	0	294832	32400	0	6785	0	0	10699.7250743632	0	0	0	8765.05932469998	357.870946013234
N2	BH6	Winter	-100	WSLE	226928.93045	1364725	309547	141031	170088	0	205380	0	3372158	24515	15765	327143	6775.8947863311	14380.6994992855	9860.86740278291	0	15829.7243341425	0	160332.777971955	1450.0715576556
N10	BH6	Winter	-162	WSLE	5584.07880482037	162101.349908436	2031672.24585759	74015.8808519211	2283293.94522159	0	1083381.52960126	0	1836105.90201242	356386.795790369	825.96164571773	41235.970246186	179199.924037047	3882.08262723708	141773.459263577	0	51868.7146442012	0	64286.2595503916	19065.7389106795
N14	BH6	Winter	-198	WSLE	589677.544166667	34308.3333333333	336267.997043521	6423.98313224996	65663.3881272067	0	8282.76469722654	0	614563.892451602	8827.1546415785	64436.7291201495	9544.80661581644	2180.36747333972	1097.12355626121	7774.79396723968	0	831.598872064513	0	24188.8036924017	18.5273961026614
N27	BH6	Winter	-285	WSLE	2883470.12416667	115866.666666667	302185.912249114	6201.58005766006	95784.8691736794	0	6375.73282162861	0	2093580.44536398	7169.28369085462	357058.159368347	39669.6698793087	3744.14957837603	737.145149841495	11688.5134468551	0	1732.24819148596	0	6811.2976555737	413.087818630686
N32	BH6	Winter	-345	WDLE	236407.419908333	103858.333333333	210085.016875496	0	125891.494482276	0	2291.55686521712	9767.31757291351	2472419.31045356	13580.7284455416	69564.6267856375	5174.71818878413	7202.5694111756	0	6908.31179690607	0	5.73962095905722	10.0559806938591	66271.1402678351	1727.31599564926
N49	BH6	Winter	-535	WDLE	138620.90005	126541.666666667	234030.53871669	0	317829.700511388	0	0	0	177843.662362991	12394.340021523	46256.4336228577	42222.4565051979	18298.4986157223	0	20563.5106567461	0	0	0	8306.61805415686	424.223971244954
N52	BH6	Winter	-564	WDLE	12382.77383	73558.3333333333	197247.715115885	0	43494.1705942709	0	0	0	44688.552978155	0	10835.0617676457	2114.28671975522	18446.3875931947	0	3519.79589976778	0	0	0	2310.12700977355	0
N58	BH6	Winter	-655	WDLE	77855.8895833333	60091.6666666667	0	0	47827.8585901134	0	0	0	229164.800344659	8958.70725565674	14909.424421975	43778.0362548771	0	0	2442.02750966709	0	0	0	13812.8783888842	251.799170165441
N61	BH6	Winter	-695	WDLE	636820.576083333	102675	0	0	306905.100728119	0	30830.1136073758	2269.9484407513	52400.8185531432	8707.25495051478	68710.1805318522	18511.3985155093	0	0	8173.51657618533	0	598.5929556766	43.1524239428218	2057.37847069232	940.11872965067
N62	BH6	Winter	-711	WDLE	2014455.38508333	139116.666666667	319433.93856406	0	163193.115142367	0	135957.519995186	73889.7726646586	278229.772696233	9735.18430968825	485570.348567445	18005.734040392	30636.0976426414	0	13734.6701320283	0	19703.2625312426	9223.68725712367	8044.82165764942	869.851987502693
