id	sample	SampleID-sequencing-centre	old_id	core	depth	env	season	VWC	ch4	co2	GWC	Norg	Corg	c_n	δn15	δc13
8_BH2	8_BH2	428902_7	K26 	BH2	-8	SSHE	summer	31	0	5.2	25	0.16	2.13	13.6	1.7	26.3
38_BH2	38_BH2	465926_5_926	K28	BH2	-38	SSHE	summer	26.3	0	7.2	23	0.22	2.62	12	3.3	26.4
84_BH2	84_BH2	465926_6_926	K32	BH2	-84	SSHE	summer	37.2	0.019	12.1	26	0.16	3.32	20.2	4.5	26.8
146_BH2	146_BH2	465926_7_926	K38	BH2	-146	SSHE	summer	24.8	0.004	5.8	20	0.08	0.7	8.9	0.7	25.3
195_BH2	195_BH2	428902_8	K41 	BH2	-195	SSHE	summer	26	0.003	0.012	21	0.06	0.55	9.2	4.2	25.3
225_BH2	225_BH2	465926_8_926	K48	BH2	-225	SSHE	summer	28.5	0.061	0.085	23	0.03	0.31	9.6	4.2	24.9
23_BH1	23_BH1	465926_1_926	K2	BH1	-23	SSLE	summer	38.4	0	4.1	25	0.09	1.37	15.5	2.4	26.4
56_BH1	56_BH1	465926_2_926	K6	BH1	-56	SSLE	summer	32.4	0	4.9	23	0.07	1.06	14.2	3.2	26
68_BH1	68_BH1	428902_1	K7 	BH1	-68	SSLE	summer	32.9	0	5.8	24	0.1	1.32	13	3.1	26.8
86_BH1	86_BH1	443707_2	K9 	BH1	-86	SSLE	summer	41.5	0	4.8	32	0.11	1.45	13.5	3.1	27
106_BH1	106_BH1	428902_3	K11 	BH1	-106	SSLE	summer	35.8	0.043	7.6	29	0.17	2.5	14.3	2.6	26.7
166_BH1	166_BH1	428902_4	K15 	BH1	-166	SSLE	summer	35	0.274	5.2	32	0.31	4.03	12.9	2.7	0
186_BH1	186_BH1	428902_5	K16 	BH1	-186	SSLE	summer	27.5	1.967	4.8	26	0.09	1.01	11.5	0.4	25.6
259_BH1	259_BH1	428902_6	K21 	BH1	-259	SSLE	summer	27.2	1.051	1.1	26	0.18	2.1	11.5	2.6	25.6
295_BH1	295_BH1	465926_3_926	K23	BH1	-295	SSLE	summer	27.6	1.572	3	27	0.21	2.33	11	1.8	25.9
305_BH1	305_BH1	465926_4_926	K24	BH1	-305	SSLE	summer	28.9	1.439	2.6	28	0.07	0.95	12.6	0.5	26
50_BH6	50_BH6	484086_N1	N1	BH6	-50	WSLE	winter	22	0.008	0.8	15	0.03	0.51	15.06	2.98	26.17
100_BH6	100_BH6	484086_N2	N2	BH6	-100	WSLE	winter	28	0.059	0	27	0.19	2.45	12.89	4.5	27.08
162_BH6	162_BH6	484086_N10	N10	BH6	-162	WSLE	winter	30	0.047	7.7	24	0.09	1.05	11.61	2.98	25.68
198_BH6	198_BH6	484086_N14	N14	BH6	-198	WSLE	winter	25	0.474	0	28	0.09	1.1	12.5	4.25	25.99
285_BH6	285_BH6	484086_N27	N27	BH6	-285	WSLE	winter	28	2.279	0	25	0.06	0.57	9.88	7.24	25.06
345_BH6	345_BH6	484086_N32	N32	BH6	-345	WDLE	winter	29	1.539	2.7	21	0.06	0.63	10.48	1.28	24.66
535_BH6	535_BH6	484086_N49	N49	BH6	-535	WDLE	winter	30	3.017	0	27	0.16	1.63	10.46	1.9	25.46
564_BH6	564_BH6	484086_N52	N52	BH6	-564	WDLE	winter	31	1.465	3.9	24	0.08	0.86	10.31	1.75	25.13
655_BH6	655_BH6	484086_N58	N58	BH6	-655	WDLE	winter	26	1.194	0	21	0.07	0.76	10.62	3.44	24.98
695_BH6	695_BH6	484086_N61	N61	BH6	-695	WDLE	winter	25	0.4	3.9	18	0.06	0.66	10.73	2.95	25.25
711_BH6	711_BH6	484086_N62	N62	BH6	-711	WDLE	winter	26	0.044	0	18	0.07	0.77	11.13	2.82	25.07
