kingdom,phylum,class,order,family,genus,23_BH1,56_BH1,68_BH1,86_BH1,106_BH1,166_BH1,186_BH1,259_BH1,295_BH1,305_BH1,8_BH2,38_BH2,84_BH2,146_BH2,195_BH2,225_BH2,50_BH6,100_BH6,162_BH6,198_BH6,285_BH6,345_BH6,535_BH6,564_BH6,655_BH6,695_BH6,711_BH6
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,0,0,0,0,11,113,92,13,122,52,0,0,0,0,0,0,0,0,0,34,25,15,29,15,129,101,59
Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanomicrobiales,uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,0,0,0,0,5,28,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,0
Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,0,0,0,0,0,10,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,144,73
Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Rice_Cluster_II,Rice_Cluster_II,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,0,0,0,0,11,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina,0,3,0,0,4,157,238,58,76,57,0,0,0,0,0,0,0,0,0,24,0,0,9,0,39,0,7
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,uncultured,0,0,0,0,0,40,29,6,14,11,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanoplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
